Model,RMSE,Best,DM stat vs best,DM p-value
Signature Ridge,0.024497738108038902,True,,
HAR-RV-L,0.029427791669651485,False,6.391831006486358,1.6391110690960886e-10
Signature LSTM,0.033381760120391846,False,4.429443541022058,9.447654156113927e-06
"GARCH(1,1)",0.03782319568266665,False,11.680310087427127,0.0
XGBoost (signature),0.03956388309597969,False,4.814804698563259,1.4734392224102777e-06
MLP (stats+signature),0.0484485924243927,False,4.64979492249877,3.3226524551732695e-06
MLP (stats),0.05029522627592087,False,7.4350616366464,1.0458300891968975e-13
XGBoost (stats),0.060537904500961304,False,6.094610811638022,1.0970402364307574e-09
