Model,RMSE,Best,DM stat vs best,DM p-value
Signature Ridge,0.012978680431842804,True,,
HAR-RV-L,0.01383797630412255,False,4.1514441433666205,3.303839034685119e-05
XGBoost (signature),0.017117155715823174,False,6.406276313956591,1.4911671897266388e-10
"GARCH(1,1)",0.017340489351974665,False,18.298295871368005,0.0
MLP (stats+signature),0.017460977658629417,False,7.36685238595031,1.7474910407599964e-13
Signature LSTM,0.01748502627015114,False,5.565987156986581,2.6067244363048303e-08
MLP (stats),0.019583145156502724,False,8.732244007503537,0.0
XGBoost (stats),0.020158179104328156,False,9.467927848770398,0.0
