Model,RMSE,Best,DM stat vs best,DM p-value
Signature Ridge,0.052026182413101196,True,,
HAR-RV-L,0.05824809878705651,False,2.2458275736443185,0.024715054415756388
Signature LSTM,0.06016206368803978,False,2.03850663511963,0.041499291875749966
XGBoost (signature),0.06927043944597244,False,3.3633185488027597,0.0007701144402467719
"GARCH(1,1)",0.09062652750533551,False,8.023950862479506,1.1102230246251565e-15
MLP (stats+signature),0.09443903714418411,False,4.820260808846492,1.433706624087705e-06
XGBoost (stats),0.09487612545490265,False,5.55103358953079,2.839855084424414e-08
MLP (stats),0.10421420633792877,False,5.807299860413274,6.348837233716154e-09
